0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
0.07966401,0.074649565,-0.0020186007,0.0,0.0,-0.0020186007,-0.13074255,0.117665276,-0.08929708,-0.11024537,-0.08466334,0.043808162,0.0093597155,-0.0020186007,0.009253336,-0.0020186007,,-0.40987596,-0.06430908,0.019480942,0.009965629,-0.032628294,-0.08599885,-0.0020186007,-0.054304678,-0.054304678,-0.0020186007,0.040655706,0.0,-0.020725096,-0.1400712,-0.0020186007,0.0406557,0.039388534,-0.08875829,0.06507278,0.0054932353,-0.13074255,-0.054304685,0.041386984,0.0406557,0.0406557,-0.054304685,0.0,0.0
0.050690614,0.05041979,0.024133528,0.024133528,0.024133528,0.0,-0.19981803,0.1459303,-0.031903896,-0.045406576,-0.015722578,0.057945177,0.024592988,0.024133528,0.023239879,0.024133528,,0.16129684,-0.104584955,0.20307584,-0.18760397,0.024855435,-0.104584955,0.13427591,0.13427591,-0.28059405,0.024133528,0.13427591,0.0,-0.030987088,-0.19610795,0.024133528,-0.007819458,0.062128346,-0.083218925,0.10524312,0.107552476,-0.05196655,-0.007819458,0.06377846,-0.007819458,0.1455065,0.0,-0.199818,-0.199818
0.07579701,0.07579701,0.008427818,0.008427818,0.0,0.008427818,-0.21029332,0.08385827,0.0048162886,-0.29714918,-0.010787832,0.040806342,0.0029232437,0.008427818,0.0029232437,0.008427818,,-0.08424992,-0.009813217,-0.52292424,0.007384487,0.009031484,0.0045973095,0.016695395,0.035504214,0.035504214,0.008427818,-0.21029332,0.0,-0.067578025,-0.17792758,0.008427818,-0.16997561,0.030929394,-0.009813216,0.038208485,0.0024359466,-0.0010781515,-0.21029332,0.029838316,-0.16997561,-0.16997561,0.035504214,0.0,0.0
0.062109124,0.039312158,0.0053017633,0.0053017633,0.0053017633,0.0,0.0053017633,0.06738262,0.028172415,-0.120527126,-0.0075444425,0.042195804,0.00569941,0.0053017633,0.0050872643,0.0053017633,,0.2778653,-0.055117264,0.11232278,-0.09308363,0.005312142,-0.064913616,0.030866405,-0.055117264,-0.055117264,0.0053017633,-0.2962991,0.0,-0.097839,-0.10166006,0.0053017633,-0.098014556,-0.019710226,-0.2962991,0.07072351,-0.06426997,0.0049429806,-0.098014556,0.04797057,-0.2962991,0.046420086,0.0,0.030866401,0.030866401
0.13111064,0.13527648,0.016728584,0.0,0.016728584,0.016728584,-0.16414133,0.120291635,-0.015334167,-0.12707004,0.0009789611,0.12876096,-0.15630159,0.016728584,0.012661401,0.016728584,,0.7498087,0.0050967736,1.5120727,0.020982802,0.020681119,0.0050967736,-0.020252215,0.02175367,-0.048420798,0.016728584,-0.26322764,0.016728584,0.010408338,-0.43385115,0.016728584,-0.0149995,0.11881269,0.005096788,0.12377625,0.23000367,0.016728586,-0.26322764,0.12788819,-0.0149995,-0.0149995,-0.04842079,0.0,0.0
0.09848179,0.03264305,-0.005428391,0.0,-0.005428391,0.0,-0.005428391,0.14776148,-0.008464882,0.18071343,0.028652482,0.022203503,-0.03252558,-0.005428391,0.0316479,-0.005428391,,-0.6389317,0.023318976,-0.34510544,-0.1525384,0.028430426,0.14963809,-0.13134913,-0.13134913,-0.13134913,-0.005428391,,,,0.008353114,-0.16778101,-0.00542839,0.0,-0.16778101,0.029679623,,0.015715556,-0.00542839,0.0,0.00835311,0.029982982,0.0,-0.16778101,-0.16778101
0.08199526,0.09345475,-0.006924657,-0.006924657,0.0,-0.006924657,-0.006924657,0.16420916,-0.08092113,-0.32248655,0.09853955,0.0028484832,0.01012597,-0.006924657,0.010321005,-0.006924657,,-0.34330165,-0.09252293,-0.20152496,0.0055157924,-0.0025230222,-0.09252293,0.074070655,0.074070655,0.08383725,-0.006924657,-0.28997892,0.0,0.049532395,-0.105691336,-0.006924657,-0.08834512,-0.0024114144,-0.05568298,0.08800934,-0.04450398,0.010420228,-0.28997892,-0.04009235,-0.08834512,-0.08834512,0.08383725,0.0,0.0
0.041477494,0.039550237,0.0057509127,0.0057509127,0.0,0.0057509127,-0.06746815,0.08979244,0.011958795,-0.03411103,0.06152845,0.027845701,0.018232288,0.0057509127,0.0069150557,0.0057509127,-0.11708748,-0.65923107,0.0054876083,-0.28142554,-0.12814374,0.010180657,-0.02902921,-0.06746815,-0.06746815,-0.06746815,0.0057509127,-0.06746815,0.0,-0.10239773,0.08325248,0.0057509127,-0.043405864,0.040350974,0.0625266,0.035273835,0.033519667,-0.024949634,-0.11469399,0.0247398,-0.043405864,0.0054876097,-0.06746814,0.0,0.0
0.10877714,0.101673916,0.0031219083,0.0031219083,0.0031219083,0.0,-0.29240373,0.13538559,-0.07315347,-0.1386155,0.11328449,0.06526473,-0.0027756514,0.0031219083,0.009670059,0.0031219083,,-0.31342387,-0.09446583,-0.43572995,-0.1497723,0.0015563583,-0.08552855,-0.05900565,-0.1030684,-0.05900565,0.0031219083,-0.13351727,0.0,-0.1596287,-0.0463699,0.0031219083,0.0031219088,0.124935575,-0.05900565,0.04060067,,0.01228348,0.0031219088,0.07838059,-0.49294388,0.059873063,0.0,-0.09446583,-0.09446583
0.08602167,0.06891078,0.008075092,0.0,0.008075092,0.008075092,0.082267694,0.065798946,0.013169894,-0.16055483,0.036530595,0.017562104,0.008137417,0.008075092,0.006190585,0.008075092,,-0.6670608,-0.14877781,-0.14950106,0.0060674883,0.007774922,-0.14877781,0.01558237,-0.05298817,-0.05298817,0.008075092,0.01558237,0.008075092,0.013169894,-0.2114835,0.008075092,0.082267724,0.051942263,-0.12933555,0.0061254944,0.023453746,-0.016781576,-0.10530112,0.030301953,0.082267724,0.082267724,-0.15891488,-0.15891488,-0.15891488
